collision_reward,right_lane_reward,high_speed_reward,on_road_reward,safe_distance_reward,left_vehicle_overtaken_reward,smooth_driving_reward
0.0,0.0,0.06584362139917702,1.0,1,0,0
0.0,0.0,0.008670764957916433,1.0,1,0,1
0.0,0.0,0.0011418291302607742,1.0,1,0,1
0.0,0.0,0.00015036432991095695,1.0,1,0,1
0.0,0.0,1.9801064021152114e-05,1.0,1,0,1
0.0,0.0,2.607547525457221e-06,1.0,1,0,1
0.0,0.0,3.4338074428319487e-07,1.0,1,0,1
0.0,0.0,4.521886332042868e-08,1.0,1,0,1
0.0,0.0,5.954747450687136e-09,1.0,1,0,1
0.0,0.0,7.841642002404115e-10,1.0,1,0,1
0.0,0.0,1.03264241602119e-10,1.0,1,0,1
0.0,0.0,1.3598722148344677e-11,1.0,1,0,1
0.0,0.0,1.7909229654833326e-12,1.0,1,0,1
0.0,0.0,2.359001882723533e-13,1.0,1,0,1
0.0,0.0,3.0908609005564356e-14,1.0,1,0,1
0.0,0.0,3.907985046680551e-15,1.0,1,0,1
0.0,0.0,3.552713678800501e-16,1.0,1,0,1
0.0,0.0,3.552713678800501e-16,1.0,1,0,1
0.0,0.0,3.552713678800501e-16,1.0,1,0,1
0.0,0.0,3.552713678800501e-16,1.0,1,0,1
0.0,0.0,3.552713678800501e-16,1.0,1,0,1
0.0,0.0,3.552713678800501e-16,1.0,1,0,1
0.0,0.0,3.552713678800501e-16,1.0,1,0,1
0.0,0.0,3.552713678800501e-16,1.0,1,0,1
0.0,0.0,3.552713678800501e-16,1.0,1,0,1
0.0,0.0,3.552713678800501e-16,1.0,1,0,1
0.0,0.0,3.552713678800501e-16,1.0,1,0,1
0.0,0.0,3.197442310920451e-16,1.0,1,0,1
0.0,0.0,3.197442310920451e-16,1.0,1,0,1
0.0,0.0,3.197442310920451e-16,1.0,1,0,1
0.0,0.5,0.06584362139917702,1.0,1,0,0
0.0,0.5,0.008670764957916433,1.0,1,0,1
0.0,0.5,0.0011418291302607742,1.0,1,0,1
0.0,0.5,0.00015036432991095695,1.0,1,0,1
0.0,0.5,1.9801064021152114e-05,1.0,1,0,1
0.0,0.5,2.607547525457221e-06,1.0,1,0,1
0.0,0.5,3.4338074428319487e-07,1.0,1,0,1
0.0,0.5,4.521886332042868e-08,1.0,1,0,1
0.0,0.5,5.954747450687136e-09,1.0,1,0,1
0.0,0.5,7.841642002404115e-10,1.0,1,0,1
0.0,0.5,1.03264241602119e-10,1.0,1,0,1
0.0,0.5,1.3598722148344677e-11,1.0,1,0,1
0.0,0.5,1.7909229654833326e-12,1.0,1,0,1
0.0,0.5,2.359001882723533e-13,1.0,1,0,1
0.0,0.5,3.0908609005564356e-14,1.0,1,0,1
0.0,0.5,3.907985046680551e-15,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.5,3.552713678800501e-16,1.0,1,0,1
0.0,0.0,0.934156378600823,1.0,1,0,0
0.0,0.0,0.5014555707971345,1.0,1,0,0
0.0,0.0,0.06603530150414941,1.0,1,0,0
0.0,0.0,0.008696006782439305,1.0,1,0,1
0.0,0.0,0.0011451531565352014,1.0,1,0,1
0.0,0.0,0.00015080206176598665,1.0,1,0,1
0.0,0.0,1.985870772241327e-05,1.0,1,0,1
0.0,0.0,2.6151384654582442e-06,1.0,1,0,1
0.0,0.0,3.4438037413764275e-07,1.0,1,0,1
0.0,0.0,4.535050191378787e-08,1.0,1,0,1
0.0,0.0,5.9720826683928865e-09,1.0,1,0,1
0.0,0.0,7.864470674689982e-10,1.0,1,0,1
